// --------------------------------------------------- //
// Atom file
// version: 1.0
// J.Varner, 3/21/17
//
// Record:
// Metabolite,C,H,N,O,P,S
// --------------------------------------------------- //

M_val_L_e,5,11,1,2,0,0
M_etoh_e,2,6,0,1,0,0
M_h2o_b,0,2,0,1,0,0
M_h_b,0,1,0,0,0,0
M_nh4_c,0,4,1,0,0,0
M_nh4_b,0,4,1,0,0,0
M_nh4_e,0,4,1,0,0,0
M_o2_b,0,0,0,2,0,0
M_acald_c,2,4,0,1,0,0
M_acald_e,2,4,0,1,0,0
M_acald_b,2,4,0,1,0,0
M_acon_C_c,6,6,0,6,0,0
M_fru_e,6,12,0,6,0,0
M_fru_c,6,12,0,6,0,0
M_fru_b,6,12,0,6,0,0
M_fum_e,4,4,0,4,0,0
M_fum_c,4,4,0,4,0,0
M_fum_b,4,4,0,4,0,0
M_ac_b,2,4,0,2,0,0
M_ac_c,2,4,0,2,0,0
M_ac_e,2,4,0,2,0,0
M_co2_b,1,0,0,2,0,0
M_co2_c,1,0,0,2,0,0
M_atp_b,10,16,5,13,3,0
M_atp_c,10,16,5,13,3,0
M_atp_e,10,16,5,13,3,0
M_etoh_b,2,6,0,1,0,0
M_for_b,1,2,0,2,0,0
